20:23:46 [debug]   [sync_server] run
20:23:47 [debug]   [sync_server] epoll_fd: 4, listen_fd: 3
20:23:47 [debug]   [timer] run
20:23:47 [debug]   [sync_server] run success
20:24:05 [debug]   [sync server] epoll listen 1 events
20:24:05 [debug]   [sync_server] get user: 5
20:24:05 [debug]   [sync server] epoll listen 1 events
20:24:05 [debug]   [sync_server] get user: 6
20:24:05 [debug]   [sync server] epoll listen 1 events
20:24:05 [debug]   [sync_server] get user: 7
20:24:05 [debug]   [sync server] epoll listen 1 events
20:24:05 [debug]   [sync_server] get user: 8
20:24:05 [debug]   [sync server] epoll listen 1 events
20:24:05 [debug]   [sync_server] get user: 9
20:24:05 [debug]   [sync server] epoll listen 1 events
20:24:05 [debug]   [sync_server] get user: 10
20:24:05 [debug]   [sync server] epoll listen 1 events
20:24:05 [debug]   [sync_server] get user: 11
20:24:05 [debug]   [sync server] epoll listen 1 events
20:24:05 [debug]   [sync_server] get user: 12
20:24:05 [debug]   [sync server] epoll listen 1 events
20:24:05 [debug]   [sync_server] get user: 13
20:24:05 [debug]   [sync server] epoll listen 1 events
20:24:05 [debug]   [sync_server] get user: 14
20:24:06 [debug]   [sync server] epoll listen 7 events
20:24:06 [debug]   [sync_server] deal read: 7
20:24:06 [debug]   [sync_server] deal read: 9
20:24:06 [debug]   [sync_server] deal read: 10
20:24:06 [debug]   [sync_server] deal read: 8
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [sync_server] deal read: 5
20:24:06 [debug]   [sync_server] deal read: 12
20:24:06 [debug]   [connection] response flag: 1
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [connection] response flag: 1
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [connection] write res_len: 15
20:24:06 [debug]   [connection] response flag: 1
20:24:06 [debug]   [connection] write res_len: 15
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [connection] response flag: 1
20:24:06 [debug]   [connection] write res_len: 15
20:24:06 [debug]   [sync server] epoll listen 3 events
20:24:06 [debug]   [sync server] epoll listen 3 events
20:24:06 [debug]   [sync_server] deal read: 13
20:24:06 [debug]   [connection] response flag: 1
20:24:06 [debug]   [connection] write res_len: 15
20:24:06 [debug]   [sync_server] deal read: 11
20:24:06 [debug]   [sync_server] deal read: 6
20:24:06 [debug]   [sync server] epoll listen 1 events
20:24:06 [debug]   [connection] response flag: 1
20:24:06 [debug]   [sync_server] deal read: 14
20:24:06 [debug]   [connection] write res_len: 15
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [connection] response flag: 1
20:24:06 [debug]   [sync_server] deal read: 12
20:24:06 [debug]   [sync_server] deal read: 9
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [connection] response flag: 1
20:24:06 [debug]   [connection] write res_len: 15
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [connection] write res_len: 15
20:24:06 [debug]   [sync_server] deal read: 5
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [router] call add
20:24:06 [debug]   [connection] write res_len: 15
20:24:06 [debug]   [router] call add
